Date,^GSPC,^DJI,^IXIC,000001.SS,^HSI,^VIX,^RUT,^BVSP,^FTSE,^GDAXI,^N225,EURUSD=X,EURCHF=X,CNY=X,GBPUSD=X,JPY=X,EURPLN=X,PLN=X,RUB=X,DX-Y.NYB,^FVX,^TNX,^TYX,CL=F,GC=F,SI=F,BTC-USD,ETH-USD,BZ=F
2026-03-19 00:00:00,"ECB Holds Rates Steady Amid Iran Chaos. Why Central Banks Are Following the Fed. | This Drone Stock Rose 1,000% From Its IPO Price. It’s Finally Falling. | Is Tesla Stock Headed for a Fall? AI Hype Is Masking Two Years of Falling EV Sales.","Stock market today: Dow, S&amp;P 500, Nasdaq slide amid inflation worries as Iran war sends oil surging | This Drone Stock Rose 1,000% From Its IPO Price. It’s Finally Falling. | Traders Weigh Rising Oil Prices as US Equity Futures Decline Pre-Bell","Stock market today: Dow, S&amp;P 500, Nasdaq slide amid inflation worries as Iran war sends oil surging | Traders Weigh Rising Oil Prices as US Equity Futures Decline Pre-Bell | Exchange-Traded Funds, Equity Futures Lower Pre-Bell Thursday Amid Rising Oil Prices, Reduced Rate-Cut Expectations",,"Oil Prices Rise, Asian Stock Markets Sink | FTSE 100 LIVE: Stocks tumble ahead of BoE and ECB rate decisions as Middle East conflict continues | Easing Oil Prices Boost Asian Stock Markets",4 Large-Cap Value Funds to Navigate Volatility and Stagflation Risks | Investors Are Wondering If Stocks Have Seen the Worst of the War | 'Fear Gauge' Falling Again. Markets Are Getting Calmer Even as War Rages.,"Momentum, Small-Caps Are Getting Crushed, But Risk Is Holding Up | The Stock Market Rotation Goes Sour | Transports, Apple's AI plans, oil prices: Market Takeaways","Tariffs for Brazil Now Max Out at 50%—Including on Coffee | Goldman Sachs Upgrades Suzano, Sees Undervalued Export Play Amid FX Shift and Sector Repricing | Romi SA (BSP:ROMI3) Q1 2025 Earnings Call Highlights: Strong Order Growth Amid Profit Margin ...",Gas prices soar as Shell plant damaged in attack on Qatar energy site | European Indexes Reverse Course as Oil Price Surges Again | European Equities Rise in Tuesday Trading; Trump Administration May Pay TotalEnergies $1 Billion to Halt Wind Farms,"Trending tickers: Micron, Alibaba, Cheniere Energy and Unilever | European Indexes Reverse Course as Oil Price Surges Again | Trending tickers: Micron, Lululemon, Swarmer, Unilever and Prudential","Oil Prices Rise, Asian Stock Markets Sink | FTSE 100 LIVE: Stocks tumble ahead of BoE and ECB rate decisions as Middle East conflict continues | BC-Nikkei 225 Futures","Fed Decision, Higher Energy Prices Point to Stronger Dollar | EUR/USD Price Forecast: 1.1400 to be key support level after ECB’s policy outcome | EUR/JPY declines as BoJ hints at future hikes, ECB decision looms",Swiss Central Bank Keeps Rates on Hold as Tariffs Threaten Slowdown | UBS maintains Swiss franc forecast as U.S. tariffs and Fed policy shift outlook | Swiss franc falls on U.S. tariff concerns despite inflation uptick,Asia FX ticks down amid Fed independence worries; Aussie firm after hot CPI | Alibaba results likely to show limited AI payoff for China tech | Ping An Insurance profit falls 8.8% in first half amid China slowdown,GBP/USD rises as BoE surprises with unanimous rate hold amid inflation concerns | GBP: Sterling pressured as BoE seen on hold – Societe Generale | FTSE 100 LIVE: Stocks tumble ahead of BoE and ECB rate decisions as Middle East conflict continues,The Dollar’s Not Done. Why It’s Outshining Rivals Amid Iran Crisis. | Japan’s Takaichi Scores Sweeping Election Win. Why It’s a Victory for Global Markets. | The Dollar Is Testing Multiyear Lows,"Poland stocks lower at close of trade; WIG30 down 0.35% | Polish economy grows 0.8% in Q2, showing resilience amid trade challenges | Poland stocks lower at close of trade; WIG30 down 0.86%",Poland stocks lower at close of trade; WIG30 down 0.35% | Poland stocks lower at close of trade; WIG30 down 0.86% | Poland stocks higher at close of trade; WIG30 up 1.68%,Moscow court fines Google for failing to abide by Russian law | Russia stocks lower at close of trade; MOEX Russia Index unchanged | Here is how Russia’s war in Ukraine has shaped global markets,,,,,,,,"Kucoin Teams Up with Tomorrowland Winter for Crypto Festival Push | SEC Approves Tokenization of Securities on Nasdaq | Why Bitcoin's Biggest Quantum Critic Says Real Bull Market Starts at $80,000","Ethereum New Liquidity Cycle? This Binance Indicator Says Yes | Michael Saylor’s Strategy Reveals Massive $1,570,000,000 Bitcoin Haul, Tom Lee’s Bitmine Acquires $143,400,000 in Ethereum | Ethereum Open Interest Jumps 18%, Bull Trap Signal?",
2026-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
